accept.prob price revenue
0.0000000 31269.7530   6.25395
0.0101010  9010.3182  92.11805
0.0202020  7673.5455 138.49331
0.0303030  6336.7727 184.86857
0.0404040  5000.0000 231.24383
0.0505051  4700.0000 266.30673
0.0606061  4400.0000 301.36963
0.0707071  4100.0000 336.43253
0.0808081  3800.0000 371.49543
0.0909091  3500.0000 406.55833
0.1010101  3400.0000 420.71929
0.1111111  3300.0000 434.88024
0.1212121  3200.0000 449.04119
0.1313131  3100.0000 463.20215
0.1414141  3000.0000 477.36310
0.1515152  2875.0000 484.50240
0.1616162  2750.0000 491.64170
0.1717172  2625.0000 498.78100
0.1818182  2500.0000 505.92030
0.1919192  2375.0000 513.05960
0.2020202  2250.0000 520.19890
0.2121212  2125.0000 527.33819
0.2222222  2000.0000 534.47749
0.2323232  1931.8182 539.81725
0.2424242  1863.6364 545.15700
0.2525253  1795.4545 550.49675
0.2626263  1727.2727 555.83650
0.2727273  1659.0909 561.17625
0.2828283  1590.9091 566.51600
0.2929293  1522.7273 571.85575
0.3030303  1454.5455 577.19550
0.3131313  1386.3636 582.53525
0.3232323  1318.1818 587.87501
0.3333333  1250.0000 593.21476
0.3434343  1214.2857 595.59731
0.3535354  1178.5714 597.97986
0.3636364  1142.8571 600.36241
0.3737374  1107.1429 602.74496
0.3838384  1071.4286 605.12751
0.3939394  1035.7143 607.51007
0.4040404  1000.0000 609.89262
0.4141414   976.0881 610.42310
0.4242424   952.1762 610.95359
0.4343434   928.2644 611.48407
0.4444444   904.3525 612.01456
0.4545455   880.4406 612.54504
0.4646465   856.5287 613.07553
0.4747475   832.6169 613.60601
0.4848485   808.7050 614.13650
0.4949495   784.7931 614.66698
0.5050505   760.8812 615.19747
0.5151515   736.9694 615.72795
0.5252525   713.0575 616.25844
0.5353535   689.1456 616.78893
0.5454545   665.2337 617.31941
0.5555556   641.3219 617.84990
0.5656566   617.4100 618.38038
0.5757576   593.4981 618.91087
0.5858586   569.5862 619.44135
0.5959596   545.6744 619.97184
0.6060606   521.7625 620.50232
0.6161616   497.8506 621.03281
0.6262626   484.0918 621.21861
0.6363636   470.3329 621.40440
0.6464646   456.5740 621.59020
0.6565657   442.8152 621.77600
0.6666667   429.0563 621.96180
0.6767677   416.2061 622.09104
0.6868687   402.9649 621.93559
0.6969697   389.7237 621.78014
0.7070707   376.4824 621.62469
0.7171717   363.2412 621.46924
0.7272727   350.0000 621.31378
0.7373737   336.7171 618.76455
0.7474747   323.4341 616.21531
0.7575758   310.1512 613.66607
0.7676768   296.8683 611.11683
0.7777778   283.5854 608.56760
0.7878788   270.3024 606.01836
0.7979798   257.0195 603.46912
0.8080808   243.7366 600.91988
0.8181818   230.4536 598.37065
0.8282828   217.1707 595.82141
0.8383838   203.8878 593.27217
0.8484848   190.6048 590.72294
0.8585859   177.3219 588.17370
0.8686869   164.0390 585.62446
0.8787879   150.7561 583.07522
0.8888889   137.4731 580.52599
0.8989899   124.1902 577.97675
0.9090909   110.9073 575.42751
0.9191919   100.9655 572.64815
0.9292929    90.6790 569.26227
0.9393939    80.3925 565.87638
0.9494949    70.1061 562.49049
0.9595960    59.8196 559.10460
0.9696970    49.5332 555.71871
0.9797980    39.2467 552.33282
0.9898990    29.2950 548.54846
1.0000000    15.3110 543.03857
