accept.prob price revenue
0.0000000 84620.811   16.9242
0.0101010 11996.862  126.7776
0.0202020  9293.176  196.4862
0.0303030  7538.008  246.7064
0.0404040  6633.834  292.9417
0.0505051  5961.693  330.0538
0.0606061  5289.551  367.1659
0.0707071  4937.809  404.2385
0.0808081  4673.578  439.2071
0.0909091  4437.196  468.4943
0.1010101  4200.814  497.7815
0.1111111  3964.432  527.0687
0.1212121  3818.338  555.5682
0.1313131  3635.607  580.0061
0.1414141  3483.241  603.3433
0.1515152  3330.874  626.6805
0.1616162  3197.934  648.2558
0.1717172  3066.993  668.9799
0.1818182  2948.707  688.0267
0.1919192  2830.421  707.0735
0.2020202  2725.302  724.8978
0.2121212  2632.104  742.1495
0.2222222  2538.906  759.4013
0.2323232  2465.584  776.3856
0.2424242  2392.262  793.3699
0.2525253  2328.617  810.1797
0.2626263  2275.758  826.9103
0.2727273  2222.900  843.6410
0.2828283  2167.192  857.9729
0.2929293  2111.485  872.3049
0.3030303  2055.778  886.6369
0.3131313  2000.071  900.9688
0.3232323  1957.197  915.1479
0.3333333  1915.786  929.0198
0.3434343  1874.375  942.8918
0.3535354  1821.413  954.8448
0.3636364  1775.619  966.7640
0.3737374  1729.825  978.6831
0.3838384  1684.031  990.6023
0.3939394  1639.844 1002.1714
0.4040404  1599.843 1013.4280
0.4141414  1562.951 1024.4123
0.4242424  1526.060 1035.3966
0.4343434  1489.169 1046.3809
0.4444444  1458.758 1057.2211
0.4545455  1428.348 1068.0613
0.4646465  1402.440 1078.8297
0.4747475  1376.532 1089.5981
0.4848485  1353.476 1100.0827
0.4949495  1330.419 1110.5674
0.5050505  1310.049 1120.8425
0.5151515  1289.732 1131.0974
0.5252525  1269.674 1140.9038
0.5353535  1249.092 1150.6407
0.5454545  1229.068 1159.8205
0.5555556  1209.044 1169.0003
0.5656566  1189.020 1178.1801
0.5757576  1168.996 1187.3598
0.5858586  1152.496 1196.4571
0.5959596  1135.476 1205.2836
0.6060606  1118.456 1214.1100
0.6161616  1101.436 1222.9365
0.6262626  1084.296 1231.3101
0.6363636  1067.156 1239.6838
0.6464646  1048.086 1247.3882
0.6565657  1029.273 1254.9740
0.6666667  1010.460 1262.5597
0.6767677   990.213 1269.8678
0.6868687   971.334 1276.9598
0.6969697   952.455 1284.0517
0.7070707   933.576 1291.1437
0.7171717   916.447 1297.9959
0.7272727   899.319 1304.8481
0.7373737   882.190 1311.7003
0.7474747   865.061 1318.5526
0.7575758   847.933 1325.4048
0.7676768   827.553 1331.3555
0.7777778   807.172 1337.3063
0.7878788   787.994 1343.0836
0.7979798   768.816 1348.8609
0.8080808   752.126 1354.5933
0.8181818   735.436 1360.3257
0.8282828   719.002 1365.7968
0.8383838   702.153 1371.1086
0.8484848   685.305 1376.4205
0.8585859   667.571 1381.5497
0.8686869   651.009 1386.5241
0.8787879   632.660 1391.3824
0.8888889   612.761 1395.9696
0.8989899   592.862 1400.5568
0.9090909   566.558 1404.4907
0.9191919   540.254 1408.4245
0.9292929   507.608 1411.7543
0.9393939   475.749 1415.0795
0.9494949   440.174 1417.8065
0.9595960   404.598 1420.5336
0.9696970   358.729 1422.2989
0.9797980   305.848 1423.6733
0.9898990   236.885 1424.0054
1.0000000    13.204 1419.4487
