accept.prob price revenue
0.0000000 129631.027   25.9262
0.0101010  27532.729  281.9579
0.0202020  19440.350  400.2930
0.0303030  15656.528  488.1333
0.0404040  13379.046  556.8272
0.0505051  12482.539  618.5467
0.0606061  11586.031  680.2662
0.0707071  10689.523  741.9857
0.0808081   9793.015  803.7052
0.0909091   8896.508  865.4247
0.1010101   8000.000  927.1443
0.1111111   7914.277  965.4754
0.1212121   7828.555 1003.8066
0.1313131   7545.700 1038.0347
0.1414141   7262.844 1072.2629
0.1515152   6979.989 1106.4910
0.1616162   6697.133 1140.7192
0.1717172   6414.278 1174.9473
0.1818182   6131.422 1209.1754
0.1919192   5848.566 1243.4036
0.2020202   5565.711 1277.6317
0.2121212   5282.855 1311.8599
0.2222222   5000.000 1346.0880
0.2323232   4916.667 1369.3074
0.2424242   4833.333 1392.5269
0.2525253   4750.000 1415.7463
0.2626263   4666.667 1438.9657
0.2727273   4583.333 1462.1852
0.2828283   4500.000 1485.4046
0.2929293   4416.667 1508.6240
0.3030303   4333.333 1531.8434
0.3131313   4250.000 1555.0629
0.3232323   4166.667 1578.2823
0.3333333   4083.333 1601.5017
0.3434343   4000.000 1624.7212
0.3535354   3916.667 1647.9406
0.3636364   3833.333 1671.1600
0.3737374   3750.000 1694.3795
0.3838384   3666.667 1717.5989
0.3939394   3583.333 1740.8183
0.4040404   3500.000 1764.0378
0.4141414   3454.545 1775.9828
0.4242424   3409.091 1787.9279
0.4343434   3363.636 1799.8730
0.4444444   3318.182 1811.8181
0.4545455   3272.727 1823.7632
0.4646465   3227.273 1835.7082
0.4747475   3181.818 1847.6533
0.4848485   3136.364 1859.5984
0.4949495   3090.909 1871.5435
0.5050505   3045.455 1883.4885
0.5151515   3000.000 1895.4336
0.5252525   2956.522 1903.2722
0.5353535   2913.043 1911.1107
0.5454545   2869.565 1918.9493
0.5555556   2826.087 1926.7878
0.5656566   2782.609 1934.6264
0.5757576   2739.130 1942.4649
0.5858586   2695.652 1950.3035
0.5959596   2652.174 1958.1420
0.6060606   2608.696 1965.9806
0.6161616   2565.217 1973.8191
0.6262626   2521.739 1981.6577
0.6363636   2478.261 1989.4962
0.6464646   2434.783 1997.3348
0.6565657   2391.304 2005.1733
0.6666667   2347.826 2013.0119
0.6767677   2304.348 2020.8504
0.6868687   2260.870 2028.6890
0.6969697   2217.391 2036.5275
0.7070707   2173.913 2044.3661
0.7171717   2130.435 2052.2046
0.7272727   2086.957 2060.0432
0.7373737   2043.478 2067.8817
0.7474747   2000.000 2075.7203
0.7575758   2000.000 2075.7203
0.7676768   2000.000 2075.7203
0.7777778   2000.000 2075.7203
0.7878788   1958.333 2075.1095
0.7979798   1916.667 2074.4988
0.8080808   1875.000 2073.8881
0.8181818   1833.333 2073.2774
0.8282828   1791.667 2072.6667
0.8383838   1750.000 2072.0559
0.8484848   1700.000 2064.3630
0.8585859   1650.000 2056.6701
0.8686869   1600.000 2048.9771
0.8787879   1549.903 2039.7770
0.8888889   1485.473 2025.1550
0.8989899   1392.762 1992.5232
0.9090909   1300.051 1959.8913
0.9191919   1207.340 1927.2594
0.9292929   1114.629 1894.6275
0.9393939   1021.918 1861.9956
0.9494949    929.207 1829.3637
0.9595960    836.496 1796.7318
0.9696970    743.785 1764.0999
0.9797980    617.412 1710.6026
0.9898990    460.584 1640.6939
1.0000000    163.163 1502.6979
