accept.prob price revenue
0.0000000 60094.2920   12.0189
0.0101010 15322.8682  176.1137
0.0202020 11863.2425  280.4464
0.0303030  9826.9188  357.1461
0.0404040  8000.0000  410.0045
0.0505051  7277.9983  456.6468
0.0606061  6676.9020  502.4665
0.0707071  6322.6568  547.9198
0.0808081  5968.4117  593.3731
0.0909091  5722.3602  631.2438
0.1010101  5476.3087  669.1145
0.1111111  5230.2573  706.9852
0.1212121  4984.2058  744.8559
0.1313131  4738.1544  782.7266
0.1414141  4492.1029  820.5972
0.1515152  4246.0515  858.4679
0.1616162  4000.0000  896.3386
0.1717172  3909.0909  913.9245
0.1818182  3818.1818  931.5103
0.1919192  3727.2727  949.0961
0.2020202  3636.3636  966.6819
0.2121212  3545.4545  984.2677
0.2222222  3454.5455 1001.8536
0.2323232  3363.6364 1019.4394
0.2424242  3272.7273 1037.0252
0.2525253  3181.8182 1054.6110
0.2626263  3090.9091 1072.1969
0.2727273  3000.0000 1089.7827
0.2828283  2965.0000 1102.0906
0.2929293  2930.0000 1114.3985
0.3030303  2858.4615 1125.5097
0.3131313  2786.9231 1136.6208
0.3232323  2715.3846 1147.7320
0.3333333  2643.8462 1158.8431
0.3434343  2572.3077 1169.9543
0.3535354  2500.7692 1181.0655
0.3636364  2429.2308 1192.1766
0.3737374  2357.6923 1203.2878
0.3838384  2286.1538 1214.3989
0.3939394  2214.6154 1225.5101
0.4040404  2143.0769 1236.6213
0.4141414  2071.5385 1247.7324
0.4242424  2000.0000 1258.8436
0.4343434  1966.6667 1265.5738
0.4444444  1933.3333 1272.3040
0.4545455  1900.0000 1279.0343
0.4646465  1866.6667 1285.7645
0.4747475  1833.3333 1292.4947
0.4848485  1800.0000 1299.2249
0.4949495  1766.6667 1305.9552
0.5050505  1733.3333 1312.6854
0.5151515  1700.0000 1319.4156
0.5252525  1666.6667 1326.1458
0.5353535  1633.3333 1332.8761
0.5454545  1600.0000 1339.6063
0.5555556  1566.6667 1346.3365
0.5656566  1533.3333 1353.0667
0.5757576  1500.0000 1359.7970
0.5858586  1458.3333 1362.8188
0.5959596  1416.6667 1365.8406
0.6060606  1375.0000 1368.8624
0.6161616  1333.3333 1371.8842
0.6262626  1291.6667 1374.9060
0.6363636  1250.0000 1377.9278
0.6464646  1233.3333 1378.0477
0.6565657  1216.6667 1378.1677
0.6666667  1200.0000 1378.2877
0.6767677  1160.0000 1375.7028
0.6868687  1120.0000 1373.1180
0.6969697  1080.0000 1370.5332
0.7070707  1040.0000 1367.9484
0.7171717  1000.0000 1365.3635
0.7272727   970.4736 1360.6821
0.7373737   940.9472 1356.0006
0.7474747   911.4209 1351.3191
0.7575758   881.8945 1346.6376
0.7676768   852.3681 1341.9561
0.7777778   822.8417 1337.2746
0.7878788   793.3153 1332.5932
0.7979798   763.7890 1327.9117
0.8080808   734.2626 1323.2302
0.8181818   704.7362 1318.5487
0.8282828   675.2098 1313.8672
0.8383838   645.6834 1309.1857
0.8484848   616.1571 1304.5042
0.8585859   586.6307 1299.8228
0.8686869   557.1043 1295.1413
0.8787879   527.5779 1290.4598
0.8888889   498.0515 1285.7783
0.8989899   468.5252 1281.0968
0.9090909   438.9988 1276.4153
0.9191919   409.4724 1271.7339
0.9292929   379.9460 1267.0524
0.9393939   350.4197 1262.3709
0.9494949   320.8933 1257.6894
0.9595960   287.6220 1248.0699
0.9696970   214.0667 1222.4282
0.9797980   142.7111 1196.0716
0.9898990    71.3556 1169.7150
1.0000000     0.0000 1143.3584
